"","Gene","Tratamiento","Tejido","Estres","Tiempo","Replica","Expresion_TPM"
"1","Gene_058","Control","Musculo","Bajo","72h",4,5.79799633537847
"2","Gene_085","DrugA","Cerebro","Bajo","24h",20,11.9176898578466
"3","Gene_090","CRISPR","Cerebro","Medio","72h",14,6.33865958825975
"4","Gene_058","RNAi","Musculo","Medio","24h",12,10.7268426006913
"5","Gene_022","DrugB","Rinon","Medio","24h",17,3.97453004273347
"6","Gene_081","DrugA","Rinon","Medio","48h",25,7.74666499089675
"7","Gene_143","DrugB","Cerebro","Alto","48h",19,7.98497941864178
"8","Gene_072","CRISPR","Higado","Alto","24h",27,7.88024761112873
"9","Gene_197","RNAi","Cerebro","Bajo","24h",18,4.73132357885245
"10","Gene_113","DrugA","Musculo","Medio","24h",12,7.51690292103195
"11","Gene_026","RNAi","Musculo","Bajo","48h",16,10.8067486375312
"12","Gene_005","DrugA","Cerebro","Medio","24h",12,7.32888324427014
"13","Gene_049","Control","Cerebro","Medio","48h",11,9.08178149730867
"14","Gene_077","Control","Musculo","Medio","48h",3,10.4816982287169
"15","Gene_160","DrugA","Higado","Medio","48h",8,14.4195179573935
"16","Gene_079","RNAi","Musculo","Medio","48h",21,7.16827172845013
"17","Gene_026","RNAi","Rinon","Alto","48h",23,3.84766453919507
"18","Gene_041","DrugA","Cerebro","Medio","48h",2,NA
"19","Gene_117","RNAi","Higado","Alto","24h",11,14.8553739842795
"20","Gene_145","DrugB","Cerebro","Medio","48h",26,7.39890030835863
"21","Gene_130","RNAi","Rinon","Medio","72h",26,4.61980132584674
"22","Gene_124","DrugA","Musculo","Medio","48h",28,3.73535061068274
"23","Gene_016","Control","Rinon","Alto","48h",20,4.91814075377019
"24","Gene_143","CRISPR","Rinon","Medio","48h",13,7.89508430236855
"25","Gene_113","DrugB","Musculo","Alto","48h",28,8.02438957243291
"26","Gene_109","RNAi","Higado","Medio","72h",6,8.35892021120813
"27","Gene_078","DrugA","Higado","Medio","48h",8,6.72789184752384
"28","Gene_112","CRISPR","Higado","Alto","72h",4,5.40802321817575
"29","Gene_182","CRISPR","Musculo","Medio","72h",28,3.78975577781428
"30","Gene_007","Control","Rinon","Bajo","72h",22,11.6044771160847
"31","Gene_182","DrugB","Cerebro","Bajo","48h",5,8.82980367498233
"32","Gene_019","CRISPR","Rinon","Alto","24h",12,3.57522014041693
"33","Gene_171","Control","Cerebro","Bajo","48h",15,7.90628212268555
"34","Gene_130","Control","Musculo","Bajo","72h",18,7.20174956038709
"35","Gene_068","Control","Cerebro","Alto","48h",18,12.0799931317679
"36","Gene_066","Control","Cerebro","Alto","24h",4,3.57879654972087
"37","Gene_132","CRISPR","Rinon","Bajo","72h",21,3.24876742149342
"38","Gene_017","Control","Higado","Bajo","24h",25,6.99340582241749
"39","Gene_134","CRISPR","Musculo","Bajo","24h",15,11.3403992978487
"40","Gene_056","CRISPR","Cerebro","Alto","72h",26,7.1657166304951
"41","Gene_135","Control","Musculo","Medio","72h",30,3.87733327596493
"42","Gene_175","DrugB","Cerebro","Alto","48h",19,10.7899952208147
"43","Gene_038","DrugA","Higado","Medio","72h",10,37.8798872649949
"44","Gene_107","CRISPR","Rinon","Alto","24h",12,3.96662465120433
"45","Gene_037","DrugA","Rinon","Medio","72h",17,9.7728707194514
"46","Gene_128","CRISPR","Rinon","Bajo","48h",10,8.8220591756107
"47","Gene_084","Control","Musculo","Medio","24h",20,3.65909160399408
"48","Gene_022","Control","Rinon","Bajo","24h",22,16.225260691508
"49","Gene_158","CRISPR","Higado","Medio","72h",12,6.02341516028831
"50","Gene_122","DrugA","Higado","Alto","48h",13,3.13202720443608
"51","Gene_109","Control","Higado","Alto","72h",28,5.02993404842686
"52","Gene_020","DrugB","Higado","Medio","24h",13,4.41747896260228
"53","Gene_144","DrugB","Cerebro","Bajo","24h",2,13.2972204658498
"54","Gene_128","CRISPR","Higado","Alto","72h",29,2.82252253805401
"55","Gene_124","DrugA","Musculo","Alto","48h",28,10.1206136264956
"56","Gene_131","DrugA","Rinon","Medio","24h",14,13.5774763475812
"57","Gene_043","Control","Musculo","Bajo","24h",19,16.0736869385733
"58","Gene_054","CRISPR","Higado","Medio","48h",14,4.11955810728136
"59","Gene_147","DrugB","Cerebro","Medio","48h",4,18.4061809929118
"60","Gene_110","DrugB","Musculo","Alto","48h",23,15.8818986231654
"61","Gene_113","DrugB","Rinon","Medio","24h",10,13.0960695271249
"62","Gene_180","CRISPR","Higado","Medio","48h",14,10.7514660446823
"63","Gene_061","DrugA","Cerebro","Alto","72h",7,3.24911120432195
"64","Gene_128","DrugB","Rinon","Bajo","72h",2,6.17266903275636
"65","Gene_178","DrugA","Musculo","Bajo","24h",15,8.33782251040972
"66","Gene_119","CRISPR","Rinon","Alto","48h",12,15.8040378257684
"67","Gene_153","RNAi","Higado","Alto","72h",1,7.42947505628074
"68","Gene_003","Control","Cerebro","Bajo","72h",23,8.34980962662339
"69","Gene_081","RNAi","Cerebro","Bajo","48h",20,5.66872265018309
"70","Gene_161","RNAi","Rinon","Alto","24h",12,11.1736503383789
"71","Gene_189","RNAi","Cerebro","Medio","24h",17,9.25756421658377
"72","Gene_158","CRISPR","Musculo","Medio","72h",24,6.15951582851818
"73","Gene_168","RNAi","Rinon","Alto","48h",30,6.54584102820799
"74","Gene_081","DrugA","Higado","Alto","48h",9,29.007068262614
"75","Gene_170","RNAi","Rinon","Alto","48h",2,7.39573723532362
"76","Gene_170","DrugA","Rinon","Alto","72h",6,5.04316664001215
"77","Gene_061","CRISPR","Musculo","Medio","48h",2,7.06225537256605
"78","Gene_191","CRISPR","Higado","Alto","72h",14,5.84399764248392
"79","Gene_058","DrugA","Musculo","Bajo","24h",23,6.3024810740846
"80","Gene_175","DrugB","Higado","Medio","72h",17,5.19972878580296
"81","Gene_143","RNAi","Rinon","Bajo","72h",10,3.27603585373525
"82","Gene_089","RNAi","Rinon","Bajo","48h",29,16.0885399384616
"83","Gene_156","RNAi","Rinon","Bajo","48h",13,12.874600245466
"84","Gene_169","CRISPR","Higado","Bajo","72h",30,10.8819048174645
"85","Gene_113","RNAi","Higado","Alto","24h",4,9.52210983111868
